#Variables:,
#pr_bcc-csm1-1_rcp45(mm):Precipitation,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,pr_bcc-csm1-1_rcp45(mm)",
5/26/2023,24.303244
5/27/2023,8.419698
5/28/2023,0
5/29/2023,0
5/30/2023,0
5/31/2023,0
6/1/2023,0
6/2/2023,0
6/3/2023,3.819451
6/4/2023,15.281978
6/5/2023,7.354285
6/6/2023,0
6/7/2023,3.429334
6/8/2023,0.384982
6/9/2023,0
6/10/2023,1.314675
6/11/2023,0.328383
6/12/2023,0
6/13/2023,0
6/14/2023,0
6/15/2023,0
6/16/2023,0.362964
6/17/2023,2.880636
6/18/2023,0
6/19/2023,0
6/20/2023,0
6/21/2023,0
6/22/2023,1.629212
6/23/2023,0
6/24/2023,0
6/25/2023,0
6/26/2023,0
6/27/2023,0
6/28/2023,0
6/29/2023,0
6/30/2023,0
7/1/2023,0
7/2/2023,0
7/3/2023,0
7/4/2023,0
7/5/2023,0
7/6/2023,0
7/7/2023,0
7/8/2023,0
7/9/2023,0
7/10/2023,0
7/11/2023,0
7/12/2023,0
7/13/2023,0
7/14/2023,0
7/15/2023,0
7/16/2023,0
7/17/2023,0
7/18/2023,0
7/19/2023,0
7/20/2023,0
7/21/2023,0
7/22/2023,0
7/23/2023,0
7/24/2023,0
7/25/2023,0
7/26/2023,0
7/27/2023,0
7/28/2023,0
7/29/2023,0
7/30/2023,0
7/31/2023,0.413904
8/1/2023,0
8/2/2023,0
8/3/2023,0
8/4/2023,0
8/5/2023,0
8/6/2023,0
8/7/2023,1.392513
8/8/2023,0
8/9/2023,0
8/10/2023,0
8/11/2023,0.73292
8/12/2023,0.317003
8/13/2023,0
8/14/2023,0
8/15/2023,0
8/16/2023,0.414155
8/17/2023,0
8/18/2023,0
8/19/2023,0
8/20/2023,0
8/21/2023,0
8/22/2023,0
8/23/2023,0
8/24/2023,1.455025
8/25/2023,1.520734
8/26/2023,0
8/27/2023,2.374922
8/28/2023,0
8/29/2023,0
8/30/2023,3.176886
8/31/2023,0
9/1/2023,0
9/2/2023,0
9/3/2023,0
9/4/2023,0
9/5/2023,0.627088
9/6/2023,0.363826
9/7/2023,6.650733
9/8/2023,6.87414
9/9/2023,6.153853
9/10/2023,5.153004
9/11/2023,2.505445
9/12/2023,0
9/13/2023,0
9/14/2023,0.924757
9/15/2023,0
9/16/2023,0
9/17/2023,0
9/18/2023,0
9/19/2023,0.357381
9/20/2023,0
9/21/2023,0
9/22/2023,0.35072
9/23/2023,2.199224
9/24/2023,1.536047
9/25/2023,0
9/26/2023,0
9/27/2023,0.665631
9/28/2023,6.482137
9/29/2023,14.882517
9/30/2023,0
10/1/2023,0
10/2/2023,0
10/3/2023,0
10/4/2023,3.372829
10/5/2023,9.649579
10/6/2023,0.356338
10/7/2023,4.332105
10/8/2023,0
10/9/2023,0
10/10/2023,0
10/11/2023,0
10/12/2023,0
10/13/2023,0
10/14/2023,0
10/15/2023,0
10/16/2023,0
10/17/2023,0
10/18/2023,0
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0.623965
10/24/2023,3.047414
10/25/2023,19.999084
10/26/2023,3.413876
10/27/2023,0.337825
10/28/2023,1.692011
10/29/2023,0.730388
10/30/2023,0.4907
10/31/2023,0
11/1/2023,0
11/2/2023,0
11/3/2023,0
11/4/2023,0
11/5/2023,0
11/6/2023,0
11/7/2023,0
11/8/2023,0
11/9/2023,0
11/10/2023,0
11/11/2023,0
11/12/2023,0.606891
11/13/2023,0.326402
11/14/2023,0
11/15/2023,2.124391
11/16/2023,0
11/17/2023,0
11/18/2023,0
11/19/2023,0
11/20/2023,0
11/21/2023,1.08173
11/22/2023,11.444643
11/23/2023,4.797589
11/24/2023,0.327768
11/25/2023,0.323013
11/26/2023,0.30154
11/27/2023,0
11/28/2023,0.611645
11/29/2023,1.373424
11/30/2023,0
12/1/2023,0
12/2/2023,0
12/3/2023,0
12/4/2023,0
12/5/2023,0
12/6/2023,0
12/7/2023,0
12/8/2023,0
12/9/2023,0
12/10/2023,0
12/11/2023,0
12/12/2023,0
12/13/2023,0
12/14/2023,0
12/15/2023,0
12/16/2023,0
12/17/2023,0
12/18/2023,0.457589
12/19/2023,0
12/20/2023,0
12/21/2023,0
12/22/2023,0
12/23/2023,0
12/24/2023,0
12/25/2023,0.574472
12/26/2023,0
12/27/2023,0
12/28/2023,0
12/29/2023,0
12/30/2023,0
12/31/2023,0
1/1/2024,0
1/2/2024,0
1/3/2024,0
1/4/2024,0
1/5/2024,0
1/6/2024,0
1/7/2024,0
1/8/2024,0
1/9/2024,0
1/10/2024,0
1/11/2024,0.329479
1/12/2024,0
1/13/2024,0
1/14/2024,0
1/15/2024,0
1/16/2024,0.363588
1/17/2024,0
1/18/2024,0
1/19/2024,0
1/20/2024,0
1/21/2024,0
1/22/2024,0
1/23/2024,0
1/24/2024,0
1/25/2024,0
1/26/2024,0
1/27/2024,0
1/28/2024,9.816428
1/29/2024,3.50861
1/30/2024,0
1/31/2024,0.547469
2/1/2024,0.344733
2/2/2024,4.470093
2/3/2024,0.308669
2/4/2024,0
2/5/2024,0
2/6/2024,0
2/7/2024,0
2/8/2024,0
2/9/2024,0
2/10/2024,0
2/11/2024,0
2/12/2024,0
2/13/2024,8.131729
2/14/2024,18.030933
2/15/2024,0
2/16/2024,0
2/17/2024,0
2/18/2024,1.980581
2/19/2024,0.657346
2/20/2024,5.083307
2/21/2024,0.369024
2/22/2024,0
2/23/2024,0
2/24/2024,0
2/25/2024,0
2/26/2024,0
2/27/2024,0
2/28/2024,0
2/29/2024,0
3/1/2024,0
3/2/2024,0
3/3/2024,1.108723
3/4/2024,0
3/5/2024,0
3/6/2024,0
3/7/2024,0
3/8/2024,0.341321
3/9/2024,2.274607
3/10/2024,9.060165
3/11/2024,0
3/12/2024,0
3/13/2024,0
3/14/2024,1.583573
3/15/2024,5.97302
3/16/2024,0.397439
3/17/2024,0
3/18/2024,1.963196
3/19/2024,0
3/20/2024,0
3/21/2024,0
3/22/2024,0
3/23/2024,1.092559
3/24/2024,1.117585
3/25/2024,0
3/26/2024,0
3/27/2024,0
3/28/2024,0
3/29/2024,0
3/30/2024,0
3/31/2024,0
4/1/2024,0.752139
4/2/2024,0.518396
4/3/2024,0
4/4/2024,0
4/5/2024,0
4/6/2024,2.562067
4/7/2024,0
4/8/2024,0
4/9/2024,0
4/10/2024,0
4/11/2024,0
4/12/2024,0
4/13/2024,0
4/14/2024,0
4/15/2024,0
4/16/2024,0
4/17/2024,0
4/18/2024,0
4/19/2024,0.297083
4/20/2024,0
4/21/2024,0
4/22/2024,0
4/23/2024,0
4/24/2024,0.691865
4/25/2024,0
4/26/2024,0
4/27/2024,0
4/28/2024,0
4/29/2024,0
4/30/2024,0
5/1/2024,0
5/2/2024,0
5/3/2024,0
5/4/2024,0
5/5/2024,0
5/6/2024,0
5/7/2024,0
5/8/2024,0
5/9/2024,0
5/10/2024,0
5/11/2024,0
5/12/2024,0
5/13/2024,0
5/14/2024,0.499662
5/15/2024,0
5/16/2024,0
5/17/2024,0
5/18/2024,0
5/19/2024,0
5/20/2024,0.650283
5/21/2024,0
5/22/2024,0
5/23/2024,0
5/24/2024,0
5/25/2024,0
5/26/2024,0
5/27/2024,0
5/28/2024,0
5/29/2024,19.630074
5/30/2024,10.109254
5/31/2024,5.072874
6/1/2024,18.168882
6/2/2024,16.495726
6/3/2024,0
6/4/2024,0.538959
6/5/2024,0
6/6/2024,0.489382
6/7/2024,0
6/8/2024,0
6/9/2024,0
6/10/2024,0
6/11/2024,0
6/12/2024,0
6/13/2024,0
6/14/2024,0
6/15/2024,0
6/16/2024,0
6/17/2024,0
6/18/2024,1.175675
6/19/2024,0
6/20/2024,0
6/21/2024,0
6/22/2024,0
6/23/2024,0
6/24/2024,0
6/25/2024,0
6/26/2024,0
6/27/2024,0
6/28/2024,0
6/29/2024,0
6/30/2024,1.027814
7/1/2024,0
7/2/2024,0
7/3/2024,0
7/4/2024,0
7/5/2024,0
7/6/2024,0
7/7/2024,1.758323
7/8/2024,7.00891
7/9/2024,3.884734
7/10/2024,0
7/11/2024,0
7/12/2024,0
7/13/2024,0
7/14/2024,0
7/15/2024,0
7/16/2024,0
7/17/2024,0
7/18/2024,0
7/19/2024,3.128
7/20/2024,0
7/21/2024,0
7/22/2024,0
7/23/2024,0
7/24/2024,0
7/25/2024,0
7/26/2024,0
7/27/2024,0
7/28/2024,0
7/29/2024,0
7/30/2024,1.511246
7/31/2024,0
8/1/2024,0.849557
8/2/2024,4.735844
8/3/2024,3.525866
8/4/2024,0
8/5/2024,0.490041
8/6/2024,0
8/7/2024,0
8/8/2024,0
8/9/2024,0
8/10/2024,0
8/11/2024,0
8/12/2024,0
8/13/2024,0
8/14/2024,0
8/15/2024,0
8/16/2024,0
8/17/2024,0
8/18/2024,0
8/19/2024,0
8/20/2024,0
8/21/2024,0
8/22/2024,0.418847
8/23/2024,2.030825
8/24/2024,0
8/25/2024,0
8/26/2024,0
8/27/2024,0.817095
8/28/2024,0.814916
8/29/2024,7.151705
8/30/2024,7.314098
8/31/2024,5.499362
9/1/2024,0
9/2/2024,0
9/3/2024,0.593252
9/4/2024,0
9/5/2024,0
9/6/2024,0
9/7/2024,0.603715
9/8/2024,0.282786
9/9/2024,0
9/10/2024,1.429798
9/11/2024,1.082508
9/12/2024,11.539808
9/13/2024,2.28581
9/14/2024,1.377111
9/15/2024,0.870074
9/16/2024,0.56976
9/17/2024,0
9/18/2024,0.838075
9/19/2024,0
9/20/2024,0
9/21/2024,0.390266
9/22/2024,0
9/23/2024,0
9/24/2024,0
9/25/2024,0
9/26/2024,0
9/27/2024,0
9/28/2024,0
9/29/2024,0
9/30/2024,0
10/1/2024,1.312487
10/2/2024,1.870495
10/3/2024,0
10/4/2024,0
10/5/2024,0.324375
10/6/2024,0
10/7/2024,0
10/8/2024,0
10/9/2024,0
10/10/2024,11.055775
10/11/2024,23.306288
10/12/2024,55.162983
10/13/2024,12.920725
10/14/2024,21.912693
10/15/2024,1.805794
10/16/2024,0.28139
10/17/2024,0
10/18/2024,1.741512
10/19/2024,12.075868
10/20/2024,2.10235
10/21/2024,0
10/22/2024,0
10/23/2024,0
10/24/2024,0
10/25/2024,0
10/26/2024,0
10/27/2024,0
10/28/2024,0.462306
10/29/2024,0.331122
10/30/2024,6.974325
10/31/2024,4.938719
11/1/2024,0
11/2/2024,0
11/3/2024,0
11/4/2024,0
11/5/2024,5.128179
11/6/2024,0
11/7/2024,0
11/8/2024,0
11/9/2024,0
11/10/2024,0
11/11/2024,0
11/12/2024,0
11/13/2024,0
11/14/2024,0
11/15/2024,0
11/16/2024,0
11/17/2024,0
11/18/2024,0
11/19/2024,0
11/20/2024,0
11/21/2024,0
11/22/2024,0
11/23/2024,0
11/24/2024,0
11/25/2024,0.46105
11/26/2024,0
11/27/2024,0
11/28/2024,0.593781
11/29/2024,0
11/30/2024,0
12/1/2024,0
12/2/2024,0
12/3/2024,0
12/4/2024,0
12/5/2024,0
12/6/2024,0
12/7/2024,0
12/8/2024,0
12/9/2024,0
12/10/2024,0
12/11/2024,0
12/12/2024,0
12/13/2024,0
12/14/2024,0
12/15/2024,0
12/16/2024,0
12/17/2024,0
12/18/2024,0
12/19/2024,0
12/20/2024,0
12/21/2024,0
12/22/2024,0
12/23/2024,0
12/24/2024,0
12/25/2024,0
12/26/2024,0.294261
12/27/2024,0
12/28/2024,0
12/29/2024,0
12/30/2024,0
12/31/2024,0
1/1/2025,0
1/2/2025,0
1/3/2025,0
1/4/2025,0
1/5/2025,0
1/6/2025,1.838181
1/7/2025,0
1/8/2025,0
1/9/2025,0
1/10/2025,2.753221
1/11/2025,17.121141
1/12/2025,1.04211
1/13/2025,0.612915
1/14/2025,0
1/15/2025,0.632103
1/16/2025,6.177784
1/17/2025,0
1/18/2025,0
1/19/2025,0
1/20/2025,0
1/21/2025,1.561442
1/22/2025,0.409859
1/23/2025,0
1/24/2025,0
1/25/2025,0
1/26/2025,0
1/27/2025,3.273684
1/28/2025,0
1/29/2025,3.09715
1/30/2025,0.803219
1/31/2025,1.801871
2/1/2025,2.11927
2/2/2025,0
2/3/2025,0
2/4/2025,0
2/5/2025,0
2/6/2025,0
2/7/2025,0
2/8/2025,0
2/9/2025,0.280756
2/10/2025,0.288615
2/11/2025,0.570038
2/12/2025,0
2/13/2025,0
2/14/2025,0
2/15/2025,0
2/16/2025,0
2/17/2025,0
2/18/2025,0
2/19/2025,0
2/20/2025,0
2/21/2025,0
2/22/2025,0.473341
2/23/2025,0.413124
2/24/2025,1.275031
2/25/2025,2.346402
2/26/2025,0
2/27/2025,0
2/28/2025,0
3/1/2025,0
3/2/2025,0
3/3/2025,0
3/4/2025,0
3/5/2025,0
3/6/2025,0
3/7/2025,5.023176
3/8/2025,0.51545
3/9/2025,14.30272
3/10/2025,0.434303
3/11/2025,0
3/12/2025,0
3/13/2025,0
3/14/2025,0
3/15/2025,0
3/16/2025,0
3/17/2025,0
3/18/2025,0
3/19/2025,0
3/20/2025,0
3/21/2025,0
3/22/2025,0
3/23/2025,0
3/24/2025,0
3/25/2025,2.738823
3/26/2025,0
3/27/2025,0
3/28/2025,0
3/29/2025,0
3/30/2025,0
3/31/2025,0
4/1/2025,0
4/2/2025,0
4/3/2025,0
4/4/2025,0
4/5/2025,0
4/6/2025,0
4/7/2025,0
4/8/2025,0.503385
4/9/2025,0.503921
4/10/2025,5.984296
4/11/2025,7.757504
4/12/2025,0.872346
4/13/2025,1.245966
4/14/2025,0
4/15/2025,0
4/16/2025,0
4/17/2025,0
4/18/2025,0.752771
4/19/2025,0
4/20/2025,0.627933
4/21/2025,0
4/22/2025,0
4/23/2025,0
4/24/2025,0
4/25/2025,0
4/26/2025,0
4/27/2025,0
4/28/2025,0
4/29/2025,0
4/30/2025,0
5/1/2025,0
5/2/2025,0
5/3/2025,0
5/4/2025,0
5/5/2025,32.426792
5/6/2025,0
5/7/2025,0
5/8/2025,0
5/9/2025,0
5/10/2025,0
5/11/2025,0
5/12/2025,0
5/13/2025,0
5/14/2025,0
5/15/2025,0.675841
5/16/2025,2.241162
5/17/2025,4.56013
5/18/2025,0
5/19/2025,0
5/20/2025,0
5/21/2025,0
5/22/2025,0
5/23/2025,0
5/24/2025,0
5/25/2025,0
5/26/2025,0
5/27/2025,0
5/28/2025,0.339183
5/29/2025,14.960054
5/30/2025,1.243786
5/31/2025,7.455916
6/1/2025,6.364919
6/2/2025,1.408866
6/3/2025,15.214215
6/4/2025,6.146385
6/5/2025,0.516064
6/6/2025,0
6/7/2025,0
6/8/2025,0
6/9/2025,0
6/10/2025,0
6/11/2025,0
6/12/2025,0
6/13/2025,0.748935
6/14/2025,3.470484
6/15/2025,2.103246
6/16/2025,0.386358
6/17/2025,0
6/18/2025,0
6/19/2025,0
6/20/2025,0
6/21/2025,0.44575
6/22/2025,0.309254
6/23/2025,0
6/24/2025,0
6/25/2025,0
6/26/2025,0.646632
6/27/2025,4.875816
6/28/2025,36.355293
6/29/2025,1.336804
6/30/2025,0
7/1/2025,0
7/2/2025,0
7/3/2025,0
7/4/2025,0
7/5/2025,0
7/6/2025,0
7/7/2025,0
7/8/2025,1.739515
7/9/2025,9.991204
7/10/2025,0
7/11/2025,0
7/12/2025,0.715958
7/13/2025,0
7/14/2025,0
7/15/2025,2.953482
7/16/2025,0
7/17/2025,0
7/18/2025,0
7/19/2025,0.582968
7/20/2025,0
7/21/2025,8.654523
7/22/2025,3.023544
7/23/2025,0
7/24/2025,0
7/25/2025,0
7/26/2025,0
7/27/2025,0
7/28/2025,0
7/29/2025,0
7/30/2025,0
7/31/2025,0
8/1/2025,0
8/2/2025,0
8/3/2025,2.194542
8/4/2025,5.081391
8/5/2025,0.567067
8/6/2025,0
8/7/2025,0
8/8/2025,0
8/9/2025,0
8/10/2025,0
8/11/2025,6.164762
8/12/2025,9.365848
8/13/2025,1.020927
8/14/2025,0
8/15/2025,0.28165
8/16/2025,0
8/17/2025,0
8/18/2025,0
8/19/2025,0
8/20/2025,0
8/21/2025,0
8/22/2025,0
8/23/2025,0
8/24/2025,0
8/25/2025,0
8/26/2025,0
8/27/2025,0
8/28/2025,0
8/29/2025,5.432172
8/30/2025,2.29018
8/31/2025,0.342167
9/1/2025,3.50571
9/2/2025,1.833318
9/3/2025,6.187232
9/4/2025,0.398652
9/5/2025,3.255191
9/6/2025,1.208477
9/7/2025,7.489133
9/8/2025,0
9/9/2025,0
9/10/2025,0
9/11/2025,0
9/12/2025,1.59788
9/13/2025,0
9/14/2025,2.529571
9/15/2025,0
9/16/2025,0
9/17/2025,0.291777
9/18/2025,0
9/19/2025,0
9/20/2025,0
9/21/2025,0
9/22/2025,0.285136
9/23/2025,0.303482
9/24/2025,2.419961
9/25/2025,0
9/26/2025,0
9/27/2025,0
9/28/2025,0.357388
9/29/2025,0
9/30/2025,0
10/1/2025,0
10/2/2025,0
10/3/2025,0
10/4/2025,0
10/5/2025,0
10/6/2025,1.484648
10/7/2025,0
10/8/2025,0
10/9/2025,0
10/10/2025,0
10/11/2025,0
10/12/2025,0
10/13/2025,0
10/14/2025,3.4209
10/15/2025,0.622154
10/16/2025,0.877598
10/17/2025,0
10/18/2025,0
10/19/2025,0
10/20/2025,0.420774
10/21/2025,0
10/22/2025,0
10/23/2025,0
10/24/2025,0
10/25/2025,0
10/26/2025,0
10/27/2025,0.280201
10/28/2025,0.921241
10/29/2025,1.918063
10/30/2025,0
10/31/2025,4.107899
11/1/2025,1.372346
11/2/2025,10.759079
11/3/2025,4.422303
11/4/2025,0
11/5/2025,0
11/6/2025,0
11/7/2025,0
11/8/2025,0
11/9/2025,0
11/10/2025,0
11/11/2025,0
11/12/2025,0.54434
11/13/2025,0
11/14/2025,0
11/15/2025,0
11/16/2025,0
11/17/2025,0
11/18/2025,0
11/19/2025,0
11/20/2025,0
11/21/2025,2.943089
11/22/2025,0.580502
11/23/2025,0
11/24/2025,0
11/25/2025,0
11/26/2025,0
11/27/2025,0
11/28/2025,14.584607
11/29/2025,0
11/30/2025,0
12/1/2025,0
12/2/2025,0
12/3/2025,0
12/4/2025,0
12/5/2025,0
12/6/2025,0
12/7/2025,0
12/8/2025,0
12/9/2025,0
12/10/2025,0
12/11/2025,0
12/12/2025,0
12/13/2025,0
12/14/2025,0
12/15/2025,0
12/16/2025,0
12/17/2025,0.645684
12/18/2025,1.488188
12/19/2025,1.478702
12/20/2025,3.400311
12/21/2025,0
12/22/2025,0
12/23/2025,0
12/24/2025,0.373293
12/25/2025,0.960976
12/26/2025,0
12/27/2025,1.447926
12/28/2025,0.536422
12/29/2025,0
12/30/2025,0
12/31/2025,1.085532
1/1/2026,1.448167
1/2/2026,2.029287
1/3/2026,20.363361
1/4/2026,4.887588
1/5/2026,0
1/6/2026,0
1/7/2026,0.343834
1/8/2026,1.624939
1/9/2026,0.314961
1/10/2026,21.14159
1/11/2026,28.078489
1/12/2026,0
1/13/2026,0
1/14/2026,0
1/15/2026,0
1/16/2026,0
1/17/2026,0
1/18/2026,0.280338
1/19/2026,0.388986
1/20/2026,0.832544
1/21/2026,0
1/22/2026,0
1/23/2026,0
1/24/2026,0
1/25/2026,0
1/26/2026,0
1/27/2026,0
1/28/2026,0
1/29/2026,0
1/30/2026,0
1/31/2026,0
2/1/2026,0
2/2/2026,0
2/3/2026,0.396014
2/4/2026,0.402818
2/5/2026,0
2/6/2026,0.296077
2/7/2026,0.476597
2/8/2026,0
2/9/2026,0
2/10/2026,0
2/11/2026,0
2/12/2026,0.535374
2/13/2026,1.042989
2/14/2026,0.413725
2/15/2026,0
2/16/2026,1.272446
2/17/2026,0.654294
2/18/2026,0
2/19/2026,0.768033
2/20/2026,0
2/21/2026,0
2/22/2026,0
2/23/2026,0
2/24/2026,0
2/25/2026,7.224428
2/26/2026,8.902328
2/27/2026,13.205751
2/28/2026,0
3/1/2026,0.703957
3/2/2026,7.028922
3/3/2026,7.316925
3/4/2026,0
3/5/2026,5.258519
3/6/2026,1.838445
3/7/2026,14.067231
3/8/2026,11.505316
3/9/2026,6.782199
3/10/2026,1.231156
3/11/2026,0
3/12/2026,0
3/13/2026,0
3/14/2026,0
3/15/2026,4.244183
3/16/2026,1.862341
3/17/2026,1.156371
3/18/2026,7.485124
3/19/2026,4.739767
3/20/2026,6.974047
3/21/2026,4.543433
3/22/2026,3.209244
3/23/2026,1.569919
3/24/2026,0
3/25/2026,0
3/26/2026,0
3/27/2026,0
3/28/2026,0
3/29/2026,2.26951
3/30/2026,44.656513
3/31/2026,3.65485
4/1/2026,0
4/2/2026,0
4/3/2026,0
4/4/2026,0
4/5/2026,0
4/6/2026,0
4/7/2026,0
4/8/2026,0
4/9/2026,0
4/10/2026,0
4/11/2026,0.449898
4/12/2026,0.3414
4/13/2026,1.282726
4/14/2026,0
4/15/2026,0
4/16/2026,0
4/17/2026,0
4/18/2026,3.280404
4/19/2026,2.669125
4/20/2026,0.858381
4/21/2026,0.28251
4/22/2026,3.906927
4/23/2026,25.442648
4/24/2026,0
4/25/2026,0
4/26/2026,0
4/27/2026,0
4/28/2026,0
4/29/2026,0
4/30/2026,0
5/1/2026,0
5/2/2026,0
5/3/2026,7.547183
5/4/2026,0
5/5/2026,0
5/6/2026,0
5/7/2026,3.830794
5/8/2026,0.460222
5/9/2026,17.643816
5/10/2026,87.100311
5/11/2026,26.334297
5/12/2026,5.576184
5/13/2026,6.933332
5/14/2026,0
5/15/2026,15.445878
5/16/2026,68.037422
5/17/2026,19.637285
5/18/2026,25.711367
5/19/2026,12.63182
5/20/2026,2.800839
5/21/2026,0
5/22/2026,0
5/23/2026,0
5/24/2026,0
5/25/2026,0
5/26/2026,0
5/27/2026,0
5/28/2026,0
5/29/2026,0
5/30/2026,0
5/31/2026,0
6/1/2026,0
6/2/2026,0
6/3/2026,0
6/4/2026,29.895411
6/5/2026,66.684929
6/6/2026,9.926841
6/7/2026,0.649605
6/8/2026,0
6/9/2026,0
6/10/2026,0
6/11/2026,0.758841
6/12/2026,5.33743
6/13/2026,0
6/14/2026,0
6/15/2026,0
6/16/2026,0
6/17/2026,0.7385
6/18/2026,0
6/19/2026,0.81984
6/20/2026,0
6/21/2026,0
6/22/2026,0.689247
6/23/2026,0
6/24/2026,0
6/25/2026,0
6/26/2026,0
6/27/2026,0
6/28/2026,0
6/29/2026,0
6/30/2026,0.453139
7/1/2026,1.557524
7/2/2026,3.351916
7/3/2026,0
7/4/2026,0
7/5/2026,0
7/6/2026,0.462142
7/7/2026,0
7/8/2026,3.205317
7/9/2026,0.54034
7/10/2026,0
7/11/2026,0
7/12/2026,0
7/13/2026,0
7/14/2026,4.450229
7/15/2026,0
7/16/2026,0
7/17/2026,0
7/18/2026,0
7/19/2026,0
7/20/2026,0
7/21/2026,0
7/22/2026,0
7/23/2026,0
7/24/2026,0
7/25/2026,0
7/26/2026,2.998694
7/27/2026,0
7/28/2026,0
7/29/2026,0
7/30/2026,0
7/31/2026,0
8/1/2026,0
8/2/2026,0
8/3/2026,0
8/4/2026,0
8/5/2026,0
8/6/2026,6.005753
8/7/2026,2.607041
8/8/2026,4.662452
8/9/2026,1.332577
8/10/2026,0
8/11/2026,0
8/12/2026,1.594726
8/13/2026,4.026327
8/14/2026,0.863237
8/15/2026,0
8/16/2026,0
8/17/2026,0.588744
8/18/2026,0.486649
8/19/2026,0
8/20/2026,1.901492
8/21/2026,1.568287
8/22/2026,10.116676
8/23/2026,11.103102
8/24/2026,1.892226
8/25/2026,0
8/26/2026,0
8/27/2026,1.015387
8/28/2026,1.625888
8/29/2026,63.669956
8/30/2026,15.653671
8/31/2026,0
9/1/2026,0
9/2/2026,0
9/3/2026,0
9/4/2026,0
9/5/2026,6.121932
9/6/2026,6.249912
9/7/2026,0
9/8/2026,0
9/9/2026,0
9/10/2026,0.957985
9/11/2026,0
9/12/2026,1.311259
9/13/2026,0.869687
9/14/2026,0.671673
9/15/2026,3.638422
9/16/2026,0
9/17/2026,0.702954
9/18/2026,10.325689
9/19/2026,17.548641
9/20/2026,0.282573
9/21/2026,0
9/22/2026,0
9/23/2026,0
9/24/2026,2.978036
9/25/2026,1.423517
9/26/2026,0
9/27/2026,0
9/28/2026,0.338554
9/29/2026,0
9/30/2026,0
10/1/2026,0
10/2/2026,0.311027
10/3/2026,0
10/4/2026,1.395169
10/5/2026,14.527255
10/6/2026,14.992194
10/7/2026,11.211637
10/8/2026,1.783283
10/9/2026,7.683053
10/10/2026,3.525429
10/11/2026,1.985122
10/12/2026,2.864044
10/13/2026,1.249378
10/14/2026,0
10/15/2026,0
10/16/2026,2.889161
10/17/2026,9.977546
10/18/2026,7.869781
10/19/2026,5.746895
10/20/2026,0.680601
10/21/2026,5.799836
10/22/2026,53.016235
10/23/2026,2.8423
10/24/2026,5.916905
10/25/2026,0
10/26/2026,8.748679
10/27/2026,42.763988
10/28/2026,0.823885
10/29/2026,0
10/30/2026,0
10/31/2026,0
11/1/2026,0
11/2/2026,0
11/3/2026,0
11/4/2026,0
11/5/2026,0
11/6/2026,9.201225
11/7/2026,1.024817
11/8/2026,8.377219
11/9/2026,0
11/10/2026,1.580279
11/11/2026,0.897539
11/12/2026,0.866737
11/13/2026,0
11/14/2026,1.544397
11/15/2026,80.024048
11/16/2026,18.709478
11/17/2026,0
11/18/2026,0
11/19/2026,0
11/20/2026,0
11/21/2026,0
11/22/2026,0
11/23/2026,3.27649
11/24/2026,0.341032
11/25/2026,1.887924
11/26/2026,2.943033
11/27/2026,1.863856
11/28/2026,3.678303
11/29/2026,1.289997
11/30/2026,0
12/1/2026,0
12/2/2026,0
12/3/2026,0
12/4/2026,0
12/5/2026,0.674716
12/6/2026,0.474477
12/7/2026,0.383226
12/8/2026,0
12/9/2026,0
12/10/2026,0
12/11/2026,0
12/12/2026,0
12/13/2026,0
12/14/2026,0
12/15/2026,2.895278
12/16/2026,0
12/17/2026,0
12/18/2026,0
12/19/2026,0
12/20/2026,0
12/21/2026,0
12/22/2026,0
12/23/2026,0
12/24/2026,0
12/25/2026,0
12/26/2026,0
12/27/2026,0
12/28/2026,0
12/29/2026,0
12/30/2026,0
12/31/2026,0
1/1/2027,0
1/2/2027,0
1/3/2027,0
1/4/2027,0
1/5/2027,0
1/6/2027,0
1/7/2027,0
1/8/2027,0
1/9/2027,0
1/10/2027,0
1/11/2027,0
1/12/2027,0
1/13/2027,0
1/14/2027,0
1/15/2027,0
1/16/2027,0
1/17/2027,0
1/18/2027,0.898541
1/19/2027,2.670538
1/20/2027,0
1/21/2027,0
1/22/2027,1.322923
1/23/2027,0
1/24/2027,0
1/25/2027,0
1/26/2027,0
1/27/2027,0
1/28/2027,0
1/29/2027,0.62117
1/30/2027,0
1/31/2027,0
2/1/2027,0
2/2/2027,0
2/3/2027,0
2/4/2027,0.833661
2/5/2027,16.487732
2/6/2027,7.367696
2/7/2027,2.794861
2/8/2027,0
2/9/2027,2.803561
2/10/2027,0
2/11/2027,0
2/12/2027,0
2/13/2027,16.918343
2/14/2027,4.528407
2/15/2027,0
2/16/2027,0
2/17/2027,0
2/18/2027,0
2/19/2027,0
2/20/2027,0
2/21/2027,0
2/22/2027,0
2/23/2027,2.293247
2/24/2027,0.460046
2/25/2027,0
2/26/2027,0
2/27/2027,0
2/28/2027,0.527586
3/1/2027,11.522229
3/2/2027,39.037266
3/3/2027,82.110664
3/4/2027,39.049011
3/5/2027,55.861706
3/6/2027,0.449646
3/7/2027,0
3/8/2027,0
